baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	6270.36054465604	-0.507855750055099	0.2819001087789	-1.80154506592766	0.0716170108590421	0.231056490656484
ENSMUSG00000000003	0	NA	NA	NA	NA	NA
ENSMUSG00000000028	1085.28170987954	-1.70131572453909	0.393278484213124	-4.32598220556892	1.51853681681666e-05	0.000201287895595267
ENSMUSG00000000031	50.5667143302198	-18.7036370527974	251.864934118954	-0.0742605838253126	0.940803039947542	0.999946408188231
ENSMUSG00000000037	19.7948997592894	-0.838248439307695	0.538749147423669	-1.5559160386912	0.119728058991019	0.333399852858872
ENSMUSG00000000049	1.58886107187952	15.1568814594677	263.122303887422	0.0576039402039923	0.954064111057951	NA
ENSMUSG00000000056	1103.91735624007	0.0473371578277645	0.386565935064789	0.122455585280246	0.90253821900825	0.999946408188231
ENSMUSG00000000058	59.6802642348751	-1.64877304144563	0.723937075383485	-2.27750877460205	0.0227558612457785	0.0993684845718973
ENSMUSG00000000078	5100.07308929724	-0.930934380872119	0.172552660158313	-5.39507406039415	6.8495294186649e-08	1.51516162955627e-06
ENSMUSG00000000085	657.049701491856	-0.393149914723956	0.19399784277146	-2.02656848708936	0.0427065620567733	0.158637524760146
ENSMUSG00000000088	2648.52908976017	-0.611472912652701	0.508443977840581	-1.20263576579212	0.229117300871893	0.504104868312623
ENSMUSG00000000093	137.958211565059	2.55810466201725	0.78265261021761	3.26850588450218	0.00108116929253461	0.00836061892448609
ENSMUSG00000000094	1.42102388930743	-0.0642505642015529	364.403696492991	-0.000176316993542871	0.999859319393774	NA
ENSMUSG00000000103	0.0396535815419843	-0.0630230253754347	403.197684987757	-0.000156308004043596	0.999875284257352	NA
ENSMUSG00000000120	3.66413157784352	15.4237458925353	284.557684904538	0.0542025280312131	0.9567738065698	NA
ENSMUSG00000000125	56.2560147954414	1.51853271153035	1.77037157697073	0.857748018146959	0.391031618898958	0.690749037095525
ENSMUSG00000000126	105.104840708309	25.9073143788258	273.335752075569	0.0947820187520261	0.924487969521972	0.999946408188231
ENSMUSG00000000127	6.28962616675417	1.5019394531915	1.10500524406823	1.35921477409637	0.174078541002994	NA
ENSMUSG00000000131	9529.88992765719	0.323180317982775	0.238292514168433	1.35623361527144	0.175024849702449	0.425569552595965
ENSMUSG00000000134	2130.47302244993	-0.167890655217631	0.339414108401251	-0.494648428164785	0.620848311158776	0.872394036984431
ENSMUSG00000000142	1382.23856117438	1.78141335085674	0.266401325691754	6.68695377634107	2.27863810963894e-11	8.86354219081223e-10
ENSMUSG00000000148	1162.29803347496	0.470215295823302	0.187135514251387	2.51269940772248	0.0119811372558553	0.0601220026770234
ENSMUSG00000000149	1079.13295847085	-0.446559712368513	0.232177674528242	-1.92335336838854	0.0544356864277205	0.189945983183614
ENSMUSG00000000154	3.58841580949688	19.8147504881538	277.361373900748	0.0714401944635753	0.943047420758309	NA
ENSMUSG00000000157	0.643001291143681	-0.111454317580006	2.19767868396841	-0.0507145645962904	0.959552970714676	NA
ENSMUSG00000000159	7.88419028210961	-0.508625655179609	0.648850782474506	-0.783886941216093	0.433106452949	0.732005693472688
ENSMUSG00000000167	16.4446259080216	0.209038443561893	1.58788977115735	0.131645437459763	0.89526474436268	0.999946408188231
ENSMUSG00000000168	1127.56475080456	-0.367688640639894	0.243299718918206	-1.51125797545005	0.130722736499559	0.35468653682261
ENSMUSG00000000171	2469.01931158445	-0.0946122373119806	0.264048441424847	-0.358313939675001	0.720108387380439	0.927742535505892
ENSMUSG00000000182	1.54361044714825	-20.8291917735632	459.087297551603	-0.0453708736544206	0.963811696528084	NA
ENSMUSG00000000183	0.48107582593124	-0.0636556174783956	383.89386078151	-0.000165815669333208	0.999867698238106	NA
ENSMUSG00000000184	11413.0212540035	0.129782112385592	0.241146156504366	0.538188600087608	0.590446849501635	0.850575163903376
ENSMUSG00000000194	2228.48863583314	-0.410208291228689	0.293706174325347	-1.39666213068537	0.162515197110348	0.406450780683579
ENSMUSG00000000197	0.729124489120919	-0.0641379814502517	368.217067500602	-0.00017418524862416	0.999861020280106	NA
ENSMUSG00000000202	3.24753110421327	1.83777708565967	2.45604547692999	0.748266716932645	0.454299295872501	NA
ENSMUSG00000000204	12.2774430477831	1.67870041446094	0.844635118567479	1.98748593038382	0.0468685735304338	0.169280917852952
ENSMUSG00000000214	0.601207011033442	-0.0633636078605406	392.988539713722	-0.000161235256139273	0.999871352879027	NA
ENSMUSG00000000215	0.0528004159126405	-0.0631585355493715	399.181584664328	-0.00015822006318874	0.999873758654899	NA
ENSMUSG00000000216	1.76795772224435	-0.063745472392457	381.056916507733	-0.000167285960786814	0.999866525115272	NA
ENSMUSG00000000223	36.3933783217671	0.109304471354002	1.08137877144297	0.101078802581031	0.919487904942799	0.999946408188231
ENSMUSG00000000244	5139.41215481661	2.85611972962257	0.327005982438611	8.73415130916986	2.4549231794709e-18	2.11516181143213e-16
ENSMUSG00000000247	65.7641895851574	1.39402011662589	0.336334977371045	4.14473727211549	3.40203535942683e-05	0.000415477486276705
ENSMUSG00000000248	26.0844696793286	1.53439893541409	1.36565934313825	1.12355906553393	0.261200129960042	0.546237941683427
ENSMUSG00000000253	14.6168111774139	1.93054729218674	1.27739369357917	1.51131738154859	0.130707607546727	0.35468653682261
ENSMUSG00000000263	2.61248923769387	-0.0644210185900073	358.562610580519	-0.000179664629520932	0.999856648366754	NA
ENSMUSG00000000266	40.396807620131	-2.86245955950697	0.642012059683423	-4.45857599765096	8.25059443847862e-06	0.000117112226823611
ENSMUSG00000000275	4137.44289299666	-0.294366375620262	0.184361294041294	-1.59668208639461	0.110336590722286	0.315467086664417
ENSMUSG00000000276	1360.22898460092	0.643470537545782	0.175536269132987	3.66574122102531	0.000246623218474189	0.00234875977942478
ENSMUSG00000000278	1318.68997499662	-2.0678990044459	0.498834780451172	-4.14545874803594	3.39134054029305e-05	0.000414568710241311
ENSMUSG00000000282	3809.07246200879	0.307121871321514	0.307167071852973	0.999852847080299	0.317381726499734	0.614508079892519
