ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000096129	Trav12d-2	NE	NE	NE	NE	LE	NE
ENSMUSG00000096130	Gm25144	NE	NE	NE	NE	NE	NE
ENSMUSG00000096131	Krtap10-10	NE	LE	NE	NE	LE	NE
ENSMUSG00000096132	n-R5s119	NE	NE	NE	NE	NE	NE
ENSMUSG00000096133	Gm25145	NE	NE	NE	NE	UND	NE
ENSMUSG00000096134	Mir669p-1	NE	NE	NE	NE	NE	NE
ENSMUSG00000096135	Rps12-ps18	NE	NE	NE	NE	NE	NE
ENSMUSG00000096136	Gm25146	NE	NE	NE	NE	NE	NE
ENSMUSG00000096137	Gm14527	NE	NE	NE	NE	NE	NE
ENSMUSG00000096138	Trav7-6	UND	HE	UND	HE	HE	HE
ENSMUSG00000096139	Gm7978	NE	NE	NE	NE	NE	NE
ENSMUSG00000096140	Ankrd66	NE	NE	LE	NE	NE	NE
ENSMUSG00000096141	Dnahc7a	LE	LE	UND	LE	LE	LE
ENSMUSG00000096142	Gm25817	NE	NE	NE	NE	NE	NE
ENSMUSG00000096143	Gm22096	NE	NE	UND	NE	LE	NE
ENSMUSG00000096144	B020004C17Rik	NE	NE	NE	NE	LE	NE
ENSMUSG00000096145	Vkorc1	HE	HE	UND	LE	UND	UND
ENSMUSG00000096146	Kcnj11	NE	LE	NE	LE	LE	NE
ENSMUSG00000096147	Gm25818	NE	UND	NE	NE	NE	NE
ENSMUSG00000096148	Gm25816	NE	NE	NE	NE	NE	NE
ENSMUSG00000096149	Trav6-5	UND	HE	UND	HE	HE	HE
ENSMUSG00000096150	Ighv1-85	NE	NE	NE	NE	LE	NE
ENSMUSG00000096151	Olfr477	NE	NE	NE	NE	NE	NE
ENSMUSG00000096152	Gm16442	NE	NE	NE	NE	NE	NE
ENSMUSG00000096153	BC061195	NE	NE	NE	NE	NE	NE
ENSMUSG00000096154	Gm13057	NE	NE	NE	NE	NE	NE
ENSMUSG00000096155	1700045I11RIK	NE	NE	NE	NE	NE	NE
ENSMUSG00000096156	Gm9242	NE	HE	LE	UND	UND	UND
ENSMUSG00000096157	Gm5472	LE	HE	LE	LE	UND	UND
ENSMUSG00000096158	Gm21827	UND	UND	NE	NE	UND	LE
ENSMUSG00000096159	Gm24153	NE	NE	NE	NE	NE	NE
ENSMUSG00000096160	Gm3436	HE	HE	UND	UND	HE	UND
ENSMUSG00000096161	Gm24639	NE	NE	NE	NE	NE	NE
ENSMUSG00000096162	Gm20853	NE	NE	NE	NE	NE	NE
ENSMUSG00000096163	Gm24142	NE	NE	NE	NE	UND	NE
ENSMUSG00000096164	Vmn1r93	NE	NE	NE	NE	NE	NE
ENSMUSG00000096165	Gm20893	NE	NE	NE	NE	NE	NE
ENSMUSG00000096166	Gm24638	NE	NE	NE	NE	NE	NE
ENSMUSG00000096167	Olfr887	NE	NE	LE	NE	NE	NE
ENSMUSG00000096168	Trav5n-4	NE	NE	NE	NE	UND	NE
ENSMUSG00000096169	Gm4461	NE	NE	NE	LE	LE	NE
ENSMUSG00000096170	n-R5s146	NE	NE	NE	NE	NE	NE
ENSMUSG00000096171	Gm8055	LE	UND	UND	UND	HE	LE
ENSMUSG00000096172	Gm22992	NE	UND	NE	NE	UND	NE
ENSMUSG00000096173	Gm3150	NE	HE	UND	HE	HE	HE
ENSMUSG00000096174	Gm22991	NE	NE	NE	LE	LE	UND
ENSMUSG00000096175	Gm21761	NE	NE	NE	NE	NE	NE
ENSMUSG00000096176	Trdd2	NE	NE	HE	NE	NE	NE
